"","X","Country.Name","Country.Code","GDP.growth","GDP.per.capita","GDP","CO2.emissions","CO2.emissions.per.capita"
"1",1,"Algeria","DZA",3.8,4129.422535,1.60057e+11,147735.2,3.811521147
"2",2,"Angola","AGO",4.82255927,3185.009706,86404016656,29610.5,1.091497057
"3",3,"Benin","BEN",6.357679098,1054.108767,11189200117,5186.1,0.488570534
"4",4,"Botswana","BWA",5.69696454,6291.249285,14220588893,6988.912,3.091924529
"5",5,"Burkina Faso","BFA",4.326845615,626.6262508,11385699970,2997,0.164943647
"6",6,"Burundi","BDI",4.240650214,307.7655312,3229972475,364.8,0.034759697
"7",7,"Cameroon","CMR",5.719818144,1366.966595,30482787768,8222.8,0.368742288
"8",8,"Chad","TCD",6.899985045,777.9356811,10655483044,1483.1,0.108278189
"9",9,"Congo, Dem. Rep.","COD",9.470288097,466.4249466,35464895073,5136.1,0.067548633
"10",10,"Cote d'Ivoire","CIV",9.371999942,1858.615354,42739891585,9196.9,0.399942511
"11",11,"Congo, Rep.","COG",6.716679334,2493.088071,12327973973,5175.1,1.046561268
"12",12,"Comoros","COM",2.106657589,1336.489702,955071578.8,171.9,0.240550117
"13",13,"Central African Republic","CAF",0.081070515,338.7003849,1625333053,130.4,0.027173834
"14",14,"Eswatini","SWZ",0.923230547,3530.360904,3974709779,977.4,0.868132503
"15",15,"Djibouti","DJI",7.061543242,2279.577595,2254700565,402.17,0.406607306
"16",16,"Egypt, Arab Rep.","EGY",2.91591188,3301.204443,3.1557e+11,219121.1,2.292245767
"17",18,"Ethiopia","ETH",10.25749296,586.5736207,58508821687,12490.3,0.1252201
"18",19,"Gambia, The","GMB",-1.407382495,605.0336927,1324430249,506.8,0.231519233
"19",20,"Gabon","GAB",4.314964441,7039.682149,13846034033,5962.05,3.031260566
"20",21,"Ghana","GHA",2.856240163,1715.824117,48379991067,13366.7,0.474057678
"21",22,"Guinea-Bissau","GNB",0.964560751,566.5355786,987646573,263.6,0.151206699
"22",23,"Guinea","GIN",3.696553117,747.363411,8470142324,2225.7,0.196384745
"23",24,"Kenya","KEN",5.020111002,1457.543061,66801913874,16700,0.364375326
"24",25,"Lesotho","LSO",1.710544004,1092.088473,2288189636,2349,1.121111547
"25",26,"Libya","LBY",-23.04280583,8057.300359,49131516065,59289.1,9.72308866
"26",27,"Liberia","LBR",0.7013931,714.18249,3227674917,1205.1,0.266650558
"27",28,"Malawi","MWI",5.62527,544.2637935,8968360285,1045.6,0.063454434
"28",29,"Morocco","MAR",2.719244078,3047.130859,1.05817e+11,58691.7,1.713696176
"29",30,"Mali","MLI",7.084683881,703.2310345,12342980317,3174.4,0.180858799
"30",31,"Namibia","NAM",6.09251916,4846.889574,10871578162,3932.1,1.753053164
"31",32,"Niger","NER",6.642136655,478.8551539,9276388745,2156.78,0.111334836
"32",33,"Nigeria","NGA",6.309718656,2677.494122,4.80286e+11,114815.5,0.640072081
"33",34,"Rwanda","RWA",6.167163146,690.3948658,7848720203,923.92,0.081270527
"34",35,"Sao Tome and Principe","STP",6.549934955,1540.119571,304168994.9,119.2,0.603553472
"35",36,"Sierra Leone","SLE",4.559253533,748.9284173,5347864162,1137.6,0.15931238
"36",38,"South Africa","ZAF",1.413826452,6252.317977,3.42187e+11,448298.1,8.191152527
"37",39,"South Sudan","SSD",3.373648477,1199.421045,13449448811,1519.6,0.135517838
"38",40,"Sudan","SDN",4.661379542,2253.633301,83391742620,16658.5,0.450190247
"39",41,"Tanzania","TZA",6.732461868,904.8098145,44629166510,10108,0.198919396
"40",42,"Togo","TGO",5.920588573,737.1882362,5372910209,1588.5,0.217949578
"41",43,"Uganda","UGA",5.106307324,847.3522888,30789849490,4112.2,0.113169832
"42",44,"Tunisia","TUN",3.090328031,3967.18319,45340730385,30976,2.710310695
"43",45,"Zambia","ZMB",4.697992363,1312.014433,20648211567,4686,0.297754584
"44",46,"Zimbabwe","ZWE",1.484542622,1412.204012,19567149970,12010.7,0.866838489
"45",47,"Somalia","SOM",7.794200253,348.4134631,4637116657,645.9,0.048530212
"46",48,"Senegal","SEN",6.224074438,1196.164308,16710783798,8572,0.613587045
"47",49,"Mozambique","MOZ",7.398512797,573.9959503,14946110648,4823.3,0.185235794
"48",50,"Mauritius","MUS",3.82696982,9181.615754,11579927241,3949.4,3.131442236
"49",51,"Mauritania","MRT",4.274823271,1522.759134,5852228313,2534.5,0.659480939
"50",52,"Madagascar","MDG",3.339203113,453.3834142,10979121877,3010.62,0.124323711
"51",53,"Cabo Verde","CPV",0.69666684,3174.705331,1733630388,496.4,0.909030977
