t,date,EC,FS,GP ,KZN,LP,MP,NC,NW,WC
1,01-12-2020,1.168404163,1.009555719,1.014375054,1.024380106,1.020884723,1.021978022,1.019410654,1.014547147,1.086030734
2,02-12-2020,1.164366441,1.009356805,1.015149883,1.027258505,1.022597943,1.022533199,1.020047377,1.013563359,1.092853421
3,03-12-2020,1.168023405,1.009519748,1.015913042,1.030596789,1.023001694,1.021725757,1.020713817,1.013717302,1.097691243
4,04-12-2020,1.167125316,1.009886307,1.017192987,1.033152775,1.022674007,1.021148817,1.020606854,1.013960089,1.105339047
5,05-12-2020,1.166068431,1.00977354,1.018685368,1.037005266,1.023731766,1.021048221,1.021152253,1.014174139,1.112925704
6,06-12-2020,1.165266584,1.009954736,1.020095608,1.042179095,1.023751291,1.021401905,1.021697456,1.014336503,1.11804
7,07-12-2020,1.16288083,1.010034696,1.021838706,1.044358995,1.024337245,1.022099981,1.021508185,1.014566474,1.122118187
8,08-12-2020,1.158289741,1.010287016,1.024667549,1.050019796,1.025135722,1.022428585,1.021084206,1.014578522,1.124870626
9,09-12-2020,1.159219972,1.011130748,1.028030465,1.059612271,1.027170671,1.023842377,1.02052595,1.015364658,1.131402472
10,10-12-2020,1.165164332,1.011237099,1.032051967,1.070838523,1.029442009,1.025084094,1.020827019,1.017482215,1.142824954
11,11-12-2020,1.167353124,1.011756523,1.036691492,1.082794237,1.03174946,1.026352821,1.022406783,1.019929829,1.153654626
12,12-12-2020,1.169166401,1.012851161,1.041224017,1.093015231,1.035687332,1.028291343,1.023190534,1.022878165,1.16386047
13,13-12-2020,1.173948783,1.013623886,1.044836499,1.107323569,1.039304367,1.029878827,1.02359284,1.025388437,1.175518105
14,14-12-2020,1.170451788,1.01382348,1.047493797,1.117973749,1.041110633,1.030788845,1.024183119,1.025781631,1.181985655
15,15-12-2020,1.175166228,1.014477294,1.051876544,1.124258693,1.041988832,1.030985557,1.025072158,1.028963896,1.199262409
16,16-12-2020,1.173694702,1.014987736,1.057357085,1.140811363,1.046658462,1.033658273,1.025674107,1.033383002,1.211132881
17,17-12-2020,1.170973674,1.015564531,1.062790678,1.153980631,1.051377911,1.037203701,1.026857731,1.035245315,1.218968631
18,18-12-2020,1.163049074,1.015511334,1.066498206,1.167319788,1.053722752,1.038038323,1.026650126,1.037019052,1.228561642
19,19-12-2020,1.160488086,1.017334413,1.073530714,1.183632047,1.064812846,1.042554535,1.029512258,1.041985168,1.238299832
20,20-12-2020,1.158745942,1.018634901,1.079404675,1.19856871,1.073476322,1.046979866,1.030447761,1.045165703,1.245313959
21,21-12-2020,1.157564121,1.019364833,1.083716675,1.216633137,1.079444209,1.049161238,1.033586225,1.048342069,1.254140245
22,22-12-2020,1.159152853,1.023360318,1.087256743,1.2267829,1.086638776,1.052610076,1.034570845,1.055342154,1.265501208
23,23-12-2020,1.155033524,1.026823079,1.095333824,1.243643057,1.103643083,1.058891744,1.037377216,1.064389745,1.274700697
24,24-12-2020,1.146827786,1.03055024,1.102697778,1.262062671,1.119762368,1.065191574,1.041482864,1.072180707,1.276792331
25,25-12-2020,1.139418629,1.032562585,1.11110242,1.278609385,1.15019887,1.073881341,1.044212219,1.078274355,1.278726973
26,26-12-2020,1.131425222,1.032540466,1.115713104,1.29335706,1.165521549,1.078253579,1.046342802,1.079097474,1.275681287
